"rt","colour","response","time_elapsed"
"1214","10","1","87010"
"949","18","1","91470"
"1310","9","1","95797"
"1075","7","0","100138"
"878","13","1","103529"
"1021","4","0","107811"
"822","15","1","111646"
"685","12","1","116343"
"1232","14","1","121087"
"862","16","1","125710"
"1030","11","1","130003"
"840","6","0","133604"
"1468","3","0","138085"
"1248","19","1","142593"
"1166","2","0","147521"
"763","8","0","151543"
"1099","1","0","155404"
"1088","0","0","160758"
"1135","5","0","165410"
"728","17","1","169652"
"880","6","0","174794"
"1028","3","0","179584"
"733","17","1","183325"
"950","1","0","188536"
"1019","4","0","192817"
"1007","0","0","197085"
"665","9","1","201010"
"704","8","1","206225"
"974","10","1","210216"
"1115","2","0","215343"
"1413","12","1","219768"
"1265","5","0","224295"
"677","18","1","228233"
"783","19","1","233026"
"676","15","1","237219"
"906","16","1","241137"
"973","11","1","245126"
"838","7","0","249980"
"739","13","1","254485"
"1401","14","1","259402"
"1259","7","0","263675"
"4087963","10","1","7628541"
"752","16","1","7633059"
"720","0","0","7638041"
"681","14","1","7642485"
"1245","11","1","7646740"
"1193","17","1","7651193"
"1239","9","1","7656193"
"872","8","1","7661326"
"997","4","0","7665090"
"924","1","0","7669527"
"1061","5","0","7673102"
"693","19","1","7677809"
"1199","12","1","7682023"
"875","18","1","7686409"
"1348","2","0","7691018"
"1079","3","0","7696108"
"1259","6","0","7700626"
"1350","15","1","7704986"
"663","13","1","7708659"
"718","15","1","7712889"
"1756","18","1","7717661"
"739","14","1","7721414"
"1096","5","0","7725772"
"706","17","1","7729740"
"1573","16","1","7734825"
"790","4","0","7739624"
"1141","2","0","7744283"
"1136","1","0","7749681"
"1232","6","0","7754426"
"1210","3","0","7759397"
"623","8","1","7763031"
"933","0","0","7767223"
"738","9","1","7771224"
"598","10","1","7775834"
"739","12","1","7780091"
"870","11","1","7783724"
"797","19","1","7787782"
"681","7","1","7791475"
"927","13","1","7796166"
