"rt","edge","response","time_elapsed"
"3990","116","117","29945"
"4928","232","245","34877"
"4980","36","15","39860"
"5011","60","57","44873"
"3876","72","93","48752"
"5040","32","8","53794"
"3349","28","3","57145"
"4303","216","239","61451"
"5041","56","37","66494"
"5013","236","252","71511"
"3921","240","254","75434"
"3293","232","242","78731"
"3378","176","142","82112"
"4720","228","247","86834"
"4040","68","70","90876"
"6748","204","191","97626"
"5857","220","245","103485"
"3791","192","191","107279"
"3506","48","67","110787"
"3779","240","255","114567"
"5522","168","145","120092"
"3284","148","132","123378"
"4513","208","235","127893"
"2666","168","138","130561"
"5945","156","153","136509"
"2658","152","144","139168"
"3244","220","242","142418"
"4265","28","7","146686"
"7763","64","42","154452"
"8230","204","220","162684"
"3139","12","0","165825"
"3383","160","139","169211"
"5520","228","249","174734"
"6732","4","0","181467"
"5215","104","113","186685"
"3738","212","244","190425"
"6674","204","243","197101"
"5313","140","132","202416"
"2865","172","160","205284"
"4059","120","122","209344"
"3305","140","130","212651"
"3930","96","88","216583"
"4007","48","29","220593"
"3348","176","141","223942"
"4689","220","246","228633"
"3417","112","115","232053"
"5237","60","40","237291"
"3985","0","0","241278"
"3264","188","154","244544"
"4127","180","145","248675"
