"rt","bg","fg","ratio","response","time_elapsed"
"5478","#722b0b","#e1bb18","5.48091540421677","4","23018"
"2731","#ff0786","#5f0daf","2.6010980444266467","2","25750"
"2407","#2dbc2c","#7485bf","1.4258692917370548","2","28159"
"4148","#97474d","#cfe7d4","4.823281433133837","4","32309"
"1692","#96ecad","#f53262","2.7013835538479","3","34002"
"5248","#c35c4f","#ef5aa0","1.337627014553836","2","39252"
"4538","#68b900","#eea15b","1.1590308747333165","2","43793"
"2523","#3de337","#f43d21","2.211172151991482","3","46317"
"1490","#594d30","#e82dec","2.379494026526269","3","47809"
"3523","#98a3ca","#99ae7e","1.033623936527431","1","51334"
"3456","#f761bb","#00eb44","1.756476705247783","2","54792"
"3448","#9fcc56","#f6ef3a","1.540700052064901","2","58242"
"1731","#a8c83e","#c3174f","3.0924081303080686","3","59976"
"1674","#57a0de","#52e6b2","1.7788104311202486","3","61651"
"2866","#f6b25e","#220367","8.96577082189882","4","64519"
"7581","#a05676","#d1d655","3.293231630380445","3","72102"
"2847","#16264d","#e23687","3.603231070247738","4","74950"
"1999","#45099c","#ac4092","2.2021247647021625","3","76951"
"2133","#c04d59","#dd793e","1.5468377680189","2","79085"
"4490","#d3e3e6","#4b8dcb","2.662663549009257","4","83576"
"4780","#c9e215","#fdb019","1.2607008393134782","1","88360"
"2774","#f06392","#a26c6e","1.4072987329149893","2","91135"
"2273","#7b5c92","#4d48cd","1.2125620707569302","2","93409"
"2108","#966df2","#70b40d","1.426059841906705","2","95518"
"4890","#50d3dd","#a30d78","4.054931568631148","3","100410"
"2733","#186000","#515626","1.001113650266791","1","103144"
"2631","#78bb5c","#8883a7","1.5485743939372432","2","105777"
"2500","#13e42b","#4801b4","6.271425302632205","3","108277"
"2491","#c3ade8","#56e545","1.2127725663908258","2","110769"
"4173","#c0adb3","#306ba1","2.6365518336370206","4","114943"
"2341","#3ae47a","#af29a2","3.4296411683118815","4","117286"
"8055","#f9a075","#e44a63","1.8893801474950147","2","125343"
"2448","#3cf39a","#fba160","1.3964130930495169","2","127793"
"3441","#3ed526","#0491bf","1.8510987978048619","2","131235"
"3398","#8556ad","#e33327","1.2129163907016445","2","134635"
"2874","#5f2875","#46401f","1.0165897238286756","1","137510"
"2049","#71bc6c","#00efdb","1.57699074673576","3","139561"
"2604","#49dc8b","#75f60f","1.2566297026783642","2","142168"
"2849","#2d25d5","#cc05e0","1.9963618720597893","3","145019"
"2648","#4a6f29","#8d4955","1.1182027553786273","2","147668"
"2473","#ce120e","#e50ab5","1.3564572895324634","2","150142"
"4183","#b12d2b","#c841ee","1.6607207612966282","3","154327"
"2206","#4d99b0","#ce3dc4","1.277070706455654","2","156535"
"1999","#309f3d","#59463c","2.600212209585095","3","158535"
"5583","#835436","#5373c0","1.3939777809629699","2","164119"
"1582","#2d564d","#b04d29","1.5450240944036515","3","165702"
"5032","#85273b","#abd53b","5.237842123724726","4","170735"
"6723","#99173b","#b139cf","1.7147149076504595","2","177460"
"1866","#f3f9ea","#6dc4ce","1.8729953280736178","3","179326"
"1900","#a0b434","#dfd92b","1.553832349957723","3","181227"
"2960","#e4728d","#c6814b","1.0673630439120654","1","184188"
"2138","#3bbfc6","#d5e859","1.6412710260890437","3","186327"
"1648","#558542","#9425ac","1.5450909595094353","3","187977"
"3615","#303644","#ecd073","7.966592397067406","5","191593"
"2758","#c058ce","#84458a","1.7279845501042896","3","194352"
"3316","#3b3fd6","#caf1fe","6.11044375938405","5","197669"
"1529","#b1510f","#3c5f4d","1.3804645668584967","3","199202"
"3181","#f51742","#f8b072","2.251185856864996","4","202385"
"2733","#c77de3","#8a00a9","2.8154830530894417","4","205119"
"1965","#12af20","#e71567","1.5270601322367163","3","207086"
"2325","#a582bf","#e55b26","1.117692777616685","2","209412"
"2255","#b1813d","#da0fa2","1.329407343963953","2","211668"
"2541","#0da746","#479459","1.1743770249966379","1","214210"
"4465","#e9ae97","#0953c0","3.643109100251964","4","218676"
"2500","#44be63","#5993f2","1.2777336782546533","2","221178"
"2215","#a2e81a","#15ffdf","1.1637304731182685","2","223394"
"7207","#a417fd","#3e0c6b","2.8028626054805446","4","230602"
"2274","#8ee7b9","#001e95","8.817143225299734","4","232877"
"1515","#0f9773","#5b3586","2.477689992860333","3","234394"
"3992","#5c9e44","#2eb5f3","1.4029463168920255","2","238386"
"2949","#b8e7e5","#c1e90c","1.0449813503002645","1","241336"
"2732","#68e998","#71ec9c","1.0352476134990336","1","244070"
"3215","#bfd110","#01462b","6.4547103486882005","4","247286"
"3714","#8809e6","#88c6b8","3.3502953090172927","3","251002"
"2350","#bc5973","#e536b6","1.1495318119967788","2","253352"
"2275","#79d02d","#c49001","1.4819938093673273","2","255628"
"2781","#19604c","#09616b","1.0407815521668633","1","258411"
"3124","#c1495f","#3859cc","1.2642597632983243","3","261536"
"2232","#89c7cf","#cb3f60","2.519463991356373","3","263771"
"2105","#7ddec1","#04238c","8.059372100625245","4","265877"
"3100","#fb10a5","#c71d6e","1.4935484920828754","2","268979"
"2106","#69f521","#921e54","5.790221555831781","3","271086"
"1675","#3cb446","#db3a0c","1.6893451838268148","3","272762"
"3891","#edab49","#d9b1d2","1.0615409372166322","2","276653"
"3281","#21c69b","#ad0fe7","2.404455181450294","3","279936"
"2584","#1b1597","#ce6710","3.4808513539922146","4","282521"
"2555","#9e7db9","#bc7237","1.0870402176592822","2","285078"
"1827","#77256c","#7e809a","2.4017987327219745","3","286905"
"1013","#e4810a","#b63694","1.8870949053027155","3","287919"
"5565","#ff86a9","#57e343","1.3507302410229862","2","293485"
"2592","#160502","#b0b1d5","9.553990694092532","5","296078"
"2807","#2b0235","#6dfb40","13.349686676705556","5","298886"
"2382","#4eca80","#93da3a","1.222773265106869","2","301269"
"3791","#8c0245","#d1ff85","8.305965569407947","4","305061"
"3055","#83bc02","#505873","3.0688842876386606","3","308120"
"1116","#ab0d87","#3c0c30","2.438253442964148","3","309236"
"999","#71f2e8","#4a5fff","3.5608521362062873","3","310237"
"2332","#205fe7","#85ffa0","4.363456815210574","4","312570"
"1990","#26f0bc","#d92ded","2.572299882343242","3","314561"
"1855","#f8f8c9","#af6a9e","3.5814793186475735","3","316420"
