"rt","colour","idx","word","congruence","congruence_num","target","response","correct_response","time_elapsed"
"677","#eae813","1","water","neutral","0","colour","arrowup","arrowleft","30186"
"557","#eae813","1","migraine","neutral","0","colour","arrowup","arrowup","32247"
"417","#8a25d8","2","cardamom","neutral","0","colour","arrowright","arrowright","34168"
"565","#ff2a60","0","aardvark","neutral","0","colour","arrowleft","","36236"
"849","#8a25d8","2","triangle","neutral","0","colour","arrowright","","38590"
"617","#8a25d8","2","picture","neutral","0","colour","arrowright","","40711"
"941","#eae813","1","football","neutral","0","colour","arrowup","","43157"
"657","#8a25d8","2","kazoo","neutral","0","colour","arrowright","","45317"
"550","#ff2a60","0","carousel","neutral","0","colour","arrowleft","","47372"
"972","#eae813","1","piano","neutral","0","colour","arrowup","","49847"
"712","#ff2a60","0","laboratory","neutral","0","colour","arrowleft","","52062"
"609","#ff2a60","0","chapel","neutral","0","colour","arrowleft","","54174"
"773","#8a25d8","2","lizard","neutral","0","colour","arrowright","","56451"
"855","#ff2a60","0","sandwich","neutral","0","colour","arrowleft","","58810"
"791","#ff2a60","0","spaceship","neutral","0","colour","arrowleft","","61104"
"1203","#8a25d8","2","red","incongruent","-1","colour","arrowright","arrowright","63811"
"1671","#ff2a60","0","yellow","incongruent","-1","colour","arrowleft","arrowleft","66986"
"979","#ff2a60","0","purple","incongruent","-1","colour","arrowright","arrowleft","69469"
"895","#8a25d8","2","yellow","incongruent","-1","colour","arrowright","arrowright","71867"
"965","#eae813","1","yellow","congruent","1","colour","arrowup","arrowup","74336"
"1025","#eae813","1","red","incongruent","-1","colour","arrowup","arrowup","76864"
"618","#ff2a60","0","red","congruent","1","colour","arrowleft","arrowleft","78986"
"1001","#8a25d8","2","purple","congruent","1","colour","arrowright","arrowright","81489"
"1445","#eae813","1","purple","incongruent","-1","colour","arrowup","arrowup","84438"
"1594","#8a25d8","2","red","incongruent","-1","colour","arrowright","arrowright","87537"
"967","#eae813","1","red","incongruent","-1","colour","arrowup","arrowup","90007"
"886","#8a25d8","2","yellow","incongruent","-1","colour","arrowright","arrowright","92397"
"821","#eae813","1","yellow","congruent","1","colour","arrowup","arrowup","94722"
"970","#8a25d8","2","purple","congruent","1","colour","arrowright","arrowright","97195"
"1038","#eae813","1","purple","incongruent","-1","colour","arrowup","arrowup","99736"
"797","#ff2a60","0","purple","incongruent","-1","colour","arrowleft","arrowleft","102037"
"726","#ff2a60","0","yellow","incongruent","-1","colour","arrowleft","arrowleft","104266"
"1101","#ff2a60","0","red","congruent","1","colour","arrowleft","arrowleft","106870"
"1108","#8a25d8","2","yellow","incongruent","-1","colour","arrowright","arrowright","109482"
"1188","#8a25d8","2","purple","congruent","1","colour","arrowright","arrowright","112174"
"1211","#8a25d8","2","red","incongruent","-1","colour","arrowright","arrowright","114889"
"696","#ff2a60","0","red","congruent","1","colour","arrowleft","arrowleft","117089"
"963","#ff2a60","0","yellow","incongruent","-1","colour","arrowleft","arrowleft","119554"
"757","#eae813","1","purple","incongruent","-1","colour","arrowup","arrowup","121815"
"1314","#ff2a60","0","purple","incongruent","-1","colour","arrowleft","arrowleft","124632"
"917","#eae813","1","yellow","congruent","1","colour","arrowup","arrowup","127052"
"1502","#eae813","1","red","incongruent","-1","colour","arrowup","arrowup","130056"
"897","#ff2a60","0","red","congruent","1","colour","arrowleft","arrowleft","132460"
"1068","#eae813","1","yellow","congruent","1","colour","arrowup","arrowup","135032"
"1315","#8a25d8","2","yellow","incongruent","-1","colour","arrowright","arrowright","137851"
"1400","#eae813","1","purple","incongruent","-1","colour","arrowup","arrowup","140755"
"1116","#eae813","1","red","incongruent","-1","colour","arrowup","arrowup","143374"
"1001","#8a25d8","2","purple","congruent","1","colour","arrowright","arrowright","145878"
"856","#8a25d8","2","red","incongruent","-1","colour","arrowright","arrowright","148237"
"869","#ff2a60","0","purple","incongruent","-1","colour","arrowleft","arrowleft","150610"
"984","#ff2a60","0","yellow","incongruent","-1","colour","arrowleft","arrowleft","153098"
"1227","#8a25d8","2","yellow","incongruent","-1","colour","arrowright","arrowright","155829"
"1100","#ff2a60","0","yellow","incongruent","-1","colour","arrowleft","arrowleft","158432"
"821","#8a25d8","2","purple","congruent","1","colour","arrowright","arrowright","160756"
"851","#eae813","1","purple","incongruent","-1","colour","arrowup","arrowup","163111"
"981","#ff2a60","0","purple","incongruent","-1","colour","arrowleft","arrowleft","165595"
"875","#ff2a60","0","red","congruent","1","colour","arrowleft","arrowleft","167973"
"1037","#8a25d8","2","red","incongruent","-1","colour","arrowright","arrowright","170513"
"760","#eae813","1","yellow","congruent","1","colour","arrowup","arrowup","172775"
"1408","#eae813","1","red","incongruent","-1","colour","arrowup","arrowup","175687"
"1439","#ff2a60","0","purple","incongruent","-1","word","arrowright","arrowright","198934"
"733","#eae813","1","purple","incongruent","-1","word","arrowright","arrowright","201170"
"731","#eae813","1","red","incongruent","-1","word","arrowleft","arrowleft","203404"
"646","#ff2a60","0","yellow","incongruent","-1","word","arrowup","arrowup","205553"
"643","#eae813","1","yellow","congruent","1","word","arrowup","arrowup","207698"
"619","#ff2a60","0","red","congruent","1","word","arrowleft","arrowleft","209820"
"588","#8a25d8","2","red","incongruent","-1","word","arrowleft","arrowleft","211910"
"779","#8a25d8","2","purple","congruent","1","word","arrowright","arrowright","214193"
"844","#8a25d8","2","yellow","incongruent","-1","word","arrowup","arrowup","216539"
"1012","#ff2a60","0","purple","incongruent","-1","word","arrowleft","arrowright","219054"
"1156","#ff2a60","0","yellow","incongruent","-1","word","arrowup","arrowup","221713"
"902","#eae813","1","red","incongruent","-1","word","arrowleft","arrowleft","224118"
"895","#8a25d8","2","yellow","incongruent","-1","word","arrowup","arrowup","226516"
"636","#8a25d8","2","red","incongruent","-1","word","arrowleft","arrowleft","228655"
"779","#8a25d8","2","purple","congruent","1","word","arrowright","arrowright","230935"
"762","#eae813","1","purple","incongruent","-1","word","arrowright","arrowright","233201"
"675","#eae813","1","yellow","congruent","1","word","arrowup","arrowup","235378"
"798","#ff2a60","0","red","congruent","1","word","arrowleft","arrowleft","237678"
"775","#eae813","1","yellow","congruent","1","word","arrowup","arrowup","239956"
"749","#eae813","1","purple","incongruent","-1","word","arrowright","arrowright","242209"
"700","#eae813","1","red","incongruent","-1","word","arrowleft","arrowleft","244412"
"885","#ff2a60","0","purple","incongruent","-1","word","arrowright","arrowright","246799"
"992","#ff2a60","0","yellow","incongruent","-1","word","arrowup","arrowup","249294"
"846","#8a25d8","2","purple","congruent","1","word","arrowright","arrowright","251643"
"882","#8a25d8","2","yellow","incongruent","-1","word","arrowup","arrowup","254029"
"774","#8a25d8","2","red","incongruent","-1","word","arrowleft","arrowleft","256306"
"824","#ff2a60","0","red","congruent","1","word","arrowleft","arrowleft","258633"
"923","#eae813","1","purple","incongruent","-1","word","arrowright","arrowright","261059"
"842","#8a25d8","2","purple","congruent","1","word","arrowright","arrowright","263404"
