"rt","f1","f2","diff","dir","response","time_elapsed","abs"
"5425","792","844","52","1","0","20436","52"
"2295","491","501","10","1","1","24244","10"
"4182","842","848","6","1","1","29935","6"
"1564","703","703","0","0","0","33010","0"
"2861","620","698","78","1","2","37378","78"
"1622","905","831","-74","-1","1","40511","74"
"2946","946","922","-24","-1","1","44968","24"
"6692","774","796","22","1","1","53169","22"
"2392","496","450","-46","-1","1","57070","46"
"1291","401","461","60","1","1","59868","60"
"5649","683","611","-72","-1","1","67019","72"
"2657","315","315","0","0","0","71181","0"
"2790","748","760","12","1","1","75477","12"
"5817","308","372","64","1","2","82800","64"
"2875","425","427","2","1","1","87182","2"
"6067","260","224","-36","-1","1","94755","36"
"1306","366","394","28","1","1","97572","28"
"1425","339","307","-32","-1","1","100505","32"
"11265","535","573","38","1","2","113279","38"
"12366","560","600","40","1","2","127153","40"
"1737","507","565","58","1","1","130395","58"
"2148","722","738","16","1","1","134053","16"
"1341","784","708","-76","-1","2","136903","76"
"1571","766","836","70","1","2","139980","70"
"4856","591","657","66","1","1","146345","66"
"2657","674","722","48","1","1","150512","48"
"5906","517","585","68","1","2","157926","68"
"2125","723","697","-26","-1","1","161561","26"
"1561","745","745","0","0","0","164628","0"
"1616","992","974","-18","-1","0","167753","18"
"1219","543","585","42","1","1","170479","42"
"3657","962","942","-20","-1","1","175645","20"
"1427","973","973","0","1","0","178577","0"
"3034","913","883","-30","-1","0","183118","30"
"2095","719","775","56","1","1","186719","56"
"2218","536","598","62","1","2","190444","62"
"1400","864","914","50","1","0","193351","50"
"2780","921","877","-44","-1","2","197639","44"
"1405","450","484","34","1","1","200553","34"
"1610","300","304","4","1","1","203671","4"
"1940","651","651","0","0","0","207120","0"
"1354","563","549","-14","-1","1","209980","14"
"1803","776","776","0","0","0","213289","0"
"3129","410","356","-54","-1","2","217927","54"
"2474","573","581","8","1","1","221911","8"
