"rt","pos","sound","response","time_elapsed"
"3515","-70","plain","-17","45195"
"4197","-100","barrel","-16","49406"
"3123","-30","plain","-10","52547"
"3840","30","barrel","7","56402"
"3483","100","dobro","15","59898"
"2618","-60","barrel","-22","62530"
"2409","90","barrel","-11","64953"
"3001","50","dobro","25","67970"
"2354","70","barrel","12","70337"
"2482","30","plain","4","72829"
"3138","-100","dobro","-69","75980"
"2252","90","dobro","50","78245"
"4003","60","plain","-9","82261"
"3466","-60","dobro","-46","85744"
"5312","60","barrel","38","91070"
"2670","-50","barrel","-7","93756"
"2299","40","dobro","13","96072"
"2334","70","plain","40","98422"
"2203","50","plain","15","100639"
"2618","-10","plain","8","103270"
"2479","-50","dobro","-18","105762"
"3036","-30","dobro","-16","108812"
"2206","80","dobro","13","111030"
"3242","-10","barrel","-8","114286"
"2415","-70","dobro","-34","116720"
"2017","30","dobro","19","118754"
"4127","-40","dobro","-27","122895"
"1811","-20","plain","-12","124720"
"2258","70","dobro","36","126994"
"2470","-90","dobro","-44","129478"
"4432","40","plain","32","133923"
"2868","0","plain","-35","136805"
"2522","-80","plain","-73","139337"
"2444","-20","dobro","20","141798"
"2804","20","barrel","32","144615"
"2618","-80","dobro","-71","147249"
"2485","-80","barrel","-64","149746"
"3338","100","barrel","32","153099"
"2485","60","dobro","37","155598"
"2653","10","barrel","-15","158264"
"3556","0","barrel","-8","161832"
"2400","50","barrel","9","164246"
"2084","-90","plain","-16","166340"
"1974","90","plain","15","168329"
"4087","0","dobro","0","172432"
"2493","10","dobro","0","174940"
"2096","-40","plain","-29","177048"
"3228","20","plain","7","180287"
"2119","-20","barrel","-13","182421"
"2621","-40","barrel","-14","185056"
"2473","40","barrel","-5","187545"
"1869","80","plain","14","189423"
"3390","-10","dobro","-38","192830"
"2502","-70","barrel","-60","195346"
"2087","100","plain","51","197448"
"2278","20","dobro","14","199741"
"1959","-60","plain","-24","201709"
"2006","-50","plain","-15","203724"
"4368","-30","barrel","-40","208106"
"2496","-100","plain","-64","210612"
"2223","80","barrel","49","212847"
"2040","10","plain","22","214899"
"2133","-90","barrel","-22","217048"
